,time,portfolio,stock,order
2,1538,hjmxr,6,-83.0
0,1538,hipzw,8,-7.0
2,1538,hipzw,10,110.0
3,1538,hipzw,11,-57.0
1,1538,wizey,13,-34.0
3,1538,wizey,15,-4.0
1,1538,uitcq,17,-9.0
0,1539,djruh,0,-38.0
3,1539,djruh,3,15.0
2,1539,hjmxr,6,-80.0
0,1539,hipzw,8,-8.0
2,1539,hipzw,10,-96.0
3,1539,hipzw,11,64.0
1,1539,wizey,13,-35.0
3,1539,wizey,15,-2.0
1,1539,uitcq,17,47.0
0,1540,djruh,0,3.0
3,1540,djruh,3,-1.0
2,1540,hjmxr,6,-7.0
0,1540,hipzw,8,1.0
2,1540,hipzw,10,-31.0
3,1540,hipzw,11,20.0
1,1540,wizey,13,32.0
3,1540,wizey,15,-42.0
1,1540,uitcq,17,32.0
0,1541,djruh,0,-18.0
3,1541,djruh,3,8.0
2,1541,hjmxr,6,69.0
0,1541,hipzw,8,-2.0
2,1541,hipzw,10,42.0
3,1541,hipzw,11,-26.0
1,1541,wizey,13,-11.0
3,1541,wizey,15,5.0
1,1541,uitcq,17,47.0
0,1542,djruh,0,15.0
3,1542,djruh,3,-14.0
2,1542,hjmxr,6,98.0
0,1542,hipzw,8,39.0
2,1542,hipzw,10,19.0
3,1542,hipzw,11,-63.0
1,1542,wizey,13,-4.0
3,1542,wizey,15,3.0
1,1542,uitcq,17,31.0
0,1543,djruh,0,-38.0
3,1543,djruh,3,4.0
2,1543,hjmxr,6,-59.0
0,1543,hipzw,8,12.0
2,1543,hipzw,10,-16.0
3,1543,hipzw,11,5.0
1,1543,wizey,13,62.0
3,1543,wizey,15,-51.0
1,1543,uitcq,17,6.0
0,1544,djruh,0,20.0
3,1544,djruh,3,-9.0
2,1544,hjmxr,6,23.0
0,1544,hipzw,8,-29.0
2,1544,hipzw,10,-39.0
3,1544,hipzw,11,81.0
1,1544,wizey,13,35.0
3,1544,wizey,15,8.0
1,1544,uitcq,17,-14.0
0,1545,djruh,0,-29.0
3,1545,djruh,3,9.0
2,1545,hjmxr,6,-94.0
0,1545,hipzw,8,43.0
2,1545,hipzw,10,-1.0
3,1545,hipzw,11,-64.0
1,1545,wizey,13,92.0
3,1545,wizey,15,-69.0
1,1545,uitcq,17,-16.0
0,1546,djruh,0,-2.0
3,1546,djruh,3,6.0
2,1546,hjmxr,6,-51.0
0,1546,hipzw,8,2.0
2,1546,hipzw,10,27.0
3,1546,hipzw,11,-12.0
1,1546,wizey,13,-77.0
3,1546,wizey,15,95.0
1,1546,uitcq,17,20.0
0,1547,djruh,0,17.0
3,1547,djruh,3,-2.0
2,1547,hjmxr,6,20.0
0,1547,hipzw,8,70.0
2,1547,hipzw,10,-64.0
3,1547,hipzw,11,-57.0
1,1547,wizey,13,4.0
3,1547,wizey,15,2.0
1,1547,uitcq,17,30.0
0,1548,djruh,0,82.0
3,1548,djruh,3,-42.0
2,1548,hjmxr,6,95.0
0,1548,hipzw,8,-4.0
2,1548,hipzw,10,2.0
3,1548,hipzw,11,-5.0
1,1548,wizey,13,12.0
3,1548,wizey,15,1.0
1,1548,uitcq,17,-5.0
0,1549,djruh,0,-10.0
3,1549,djruh,3,-11.0
2,1549,hjmxr,6,-41.0
0,1549,hipzw,8,-1.0
2,1549,hipzw,10,-61.0
3,1549,hipzw,11,52.0
1,1549,wizey,13,30.0
3,1549,wizey,15,-66.0
1,1549,uitcq,17,-17.0
0,1550,djruh,0,-2.0
3,1550,djruh,3,-2.0
2,1550,hjmxr,6,48.0
0,1550,hipzw,8,-54.0
2,1550,hipzw,10,65.0
3,1550,hipzw,11,31.0
1,1550,wizey,13,-63.0
3,1550,wizey,15,88.0
1,1550,uitcq,17,-40.0
0,1551,djruh,0,21.0
3,1551,djruh,3,-6.0
2,1551,hjmxr,6,22.0
0,1551,hipzw,8,41.0
2,1551,hipzw,10,-74.0
3,1551,hipzw,11,-11.0
1,1551,wizey,13,-30.0
3,1551,wizey,15,-4.0
1,1551,uitcq,17,-20.0
0,1552,djruh,0,-35.0
3,1552,djruh,3,15.0
2,1552,hjmxr,6,27.0
0,1552,hipzw,8,16.0
2,1552,hipzw,10,-11.0
3,1552,hipzw,11,8.0
1,1552,wizey,13,56.0
3,1552,wizey,15,-60.0
1,1552,uitcq,17,31.0
0,1553,djruh,0,-5.0
3,1553,djruh,3,4.0
2,1553,hjmxr,6,96.0
0,1553,hipzw,8,-15.0
2,1553,hipzw,10,-41.0
3,1553,hipzw,11,44.0
1,1553,wizey,13,-60.0
3,1553,wizey,15,72.0
1,1553,uitcq,17,-13.0
0,1554,djruh,0,54.0
3,1554,djruh,3,-29.0
2,1554,hjmxr,6,7.0
0,1554,hipzw,8,3.0
2,1554,hipzw,10,37.0
3,1554,hipzw,11,-3.0
1,1554,wizey,13,-17.0
3,1554,wizey,15,1.0
1,1554,uitcq,17,-22.0
0,1555,djruh,0,7.0
3,1555,djruh,3,3.0
0,1555,hipzw,8,-3.0
2,1555,hipzw,10,-4.0
3,1555,hipzw,11,8.0
1,1555,wizey,13,-21.0
3,1555,wizey,15,3.0
1,1555,uitcq,17,28.0
0,1556,djruh,0,67.0
3,1556,djruh,3,-21.0
2,1556,hjmxr,6,-26.0
0,1556,hipzw,8,-28.0
2,1556,hipzw,10,72.0
3,1556,hipzw,11,-3.0
1,1556,wizey,13,-2.0
3,1556,wizey,15,14.0
1,1556,uitcq,17,4.0
0,1557,djruh,0,-15.0
3,1557,djruh,3,4.0
2,1557,hjmxr,6,77.0
0,1557,hipzw,8,-64.0
2,1557,hipzw,10,-28.0
3,1557,hipzw,11,112.0
1,1557,wizey,13,130.0
3,1557,wizey,15,-137.0
1,1557,uitcq,17,-13.0
0,1558,djruh,0,29.0
3,1558,djruh,3,-19.0
2,1558,hjmxr,6,96.0
0,1558,hipzw,8,-8.0
2,1558,hipzw,10,74.0
3,1558,hipzw,11,-45.0
3,1558,wizey,15,6.0
1,1558,uitcq,17,-18.0
0,1559,djruh,0,-1.0
3,1559,djruh,3,-7.0
2,1559,hjmxr,6,71.0
0,1559,hipzw,8,-43.0
2,1559,hipzw,10,-29.0
3,1559,hipzw,11,65.0
1,1559,wizey,13,-9.0
1,1559,uitcq,17,-36.0
0,1560,djruh,0,-48.0
3,1560,djruh,3,24.0
2,1560,hjmxr,6,40.0
0,1560,hipzw,8,-46.0
2,1560,hipzw,10,68.0
3,1560,hipzw,11,10.0
1,1560,wizey,13,-8.0
3,1560,wizey,15,5.0
1,1560,uitcq,17,-35.0
0,1561,djruh,0,5.0
3,1561,djruh,3,5.0
2,1561,hjmxr,6,-39.0
0,1561,hipzw,8,4.0
2,1561,hipzw,10,-31.0
3,1561,hipzw,11,25.0
1,1561,wizey,13,111.0
3,1561,wizey,15,-161.0
1,1561,uitcq,17,24.0
0,1562,djruh,0,-4.0
3,1562,djruh,3,8.0
2,1562,hjmxr,6,-77.0
0,1562,hipzw,8,-97.0
2,1562,hipzw,10,101.0
3,1562,hipzw,11,61.0
1,1562,wizey,13,-75.0
3,1562,wizey,15,98.0
1,1562,uitcq,17,12.0
0,1563,djruh,0,-1.0
2,1563,hjmxr,6,-47.0
0,1563,hipzw,8,28.0
2,1563,hipzw,10,-41.0
1,1563,wizey,13,5.0
3,1563,wizey,15,-7.0
1,1563,uitcq,17,35.0
0,1564,djruh,0,51.0
3,1564,djruh,3,-23.0
1,1564,hjmxr,5,3050.0
2,1564,hjmxr,6,-3245.0
0,1564,hipzw,8,-32.0
2,1564,hipzw,10,62.0
3,1564,hipzw,11,4.0
1,1564,wizey,13,-125.0
3,1564,wizey,15,140.0
1,1564,uitcq,17,6.0
0,1565,djruh,0,47.0
3,1565,djruh,3,-30.0
1,1565,hjmxr,5,-1054.0
2,1565,hjmxr,6,1084.0
0,1565,hipzw,8,-51.0
2,1565,hipzw,10,90.0
3,1565,hipzw,11,2.0
1,1565,wizey,13,-90.0
3,1565,wizey,15,94.0
1,1565,uitcq,17,10.0
0,1566,djruh,0,-10.0
3,1566,djruh,3,8.0
1,1566,hjmxr,5,1572.0
2,1566,hjmxr,6,-1748.0
0,1566,hipzw,8,7.0
2,1566,hipzw,10,-19.0
3,1566,hipzw,11,13.0
1,1566,wizey,13,34.0
3,1566,wizey,15,-47.0
1,1566,uitcq,17,22.0
0,1567,djruh,0,98.0
3,1567,djruh,3,-44.0
1,1567,hjmxr,5,28.0
2,1567,hjmxr,6,-4.0
0,1567,hipzw,8,3.0
2,1567,hipzw,10,-62.0
3,1567,hipzw,11,41.0
1,1567,wizey,13,21.0
3,1567,wizey,15,-5.0
1,1567,uitcq,17,32.0
0,1568,djruh,0,-15.0
3,1568,djruh,3,-4.0
1,1568,hjmxr,5,-392.0
2,1568,hjmxr,6,363.0
0,1568,hipzw,8,-88.0
2,1568,hipzw,10,75.0
3,1568,hipzw,11,43.0
1,1568,wizey,13,-5.0
3,1568,wizey,15,7.0
1,1568,uitcq,17,38.0
0,1569,djruh,0,80.0
3,1569,djruh,3,-22.0
1,1569,hjmxr,5,795.0
2,1569,hjmxr,6,-898.0
0,1569,hipzw,8,-1.0
2,1569,hipzw,10,1.0
3,1569,hipzw,11,-14.0
1,1569,wizey,13,37.0
3,1569,wizey,15,-41.0
1,1569,uitcq,17,59.0
0,1570,djruh,0,-28.0
3,1570,djruh,3,10.0
1,1570,hjmxr,5,645.0
2,1570,hjmxr,6,-714.0
0,1570,hipzw,8,-34.0
2,1570,hipzw,10,13.0
3,1570,hipzw,11,32.0
1,1570,wizey,13,-13.0
3,1570,wizey,15,-3.0
1,1570,uitcq,17,38.0
0,1571,djruh,0,32.0
3,1571,djruh,3,-13.0
1,1571,hjmxr,5,-34.0
2,1571,hjmxr,6,-26.0
0,1571,hipzw,8,-34.0
2,1571,hipzw,10,-25.0
3,1571,hipzw,11,60.0
1,1571,wizey,13,8.0
3,1571,wizey,15,-2.0
1,1571,uitcq,17,-2.0
0,1572,djruh,0,-53.0
3,1572,djruh,3,27.0
1,1572,hjmxr,5,33.0
2,1572,hjmxr,6,-37.0
0,1572,hipzw,8,-21.0
2,1572,hipzw,10,69.0
3,1572,hipzw,11,-11.0
1,1572,wizey,13,-25.0
